flash_team,expected_klub_slug,flash_name,candidate_player_slug,candidate_klub_slug,candidate_season,relation,score,reasons,candidate_nazwa
Piast Gliwice,piast-gliwice,Daniel J.,daniel-bielica,gornik-zabrze,2023/24,past_season_other_club,86,token_overlap_ascii:daniel | token_overlap_slug:daniel,Daniel BielicaGórnik Zabrze
Piast Gliwice,piast-gliwice,Daniel J.,daniel-pacheco-lobato,gornik-zabrze,2023/24,past_season_other_club,86,token_overlap_ascii:daniel | token_overlap_slug:daniel,Dani PachecoGórnik Zabrze
Piast Gliwice,piast-gliwice,Daniel J.,daniel-pik,radomiak-radom,2023/24,past_season_other_club,86,token_overlap_ascii:daniel | token_overlap_slug:daniel | sim>=0.78:0.800,Daniel PikRadomiak Radom
Piast Gliwice,piast-gliwice,Daniel J.,daniel-szczepan,ruch-chorzow,2023/24,past_season_other_club,86,token_overlap_ascii:daniel | token_overlap_slug:daniel,Daniel SzczepanRuch Chorzów
Pogoń Szczecin,pogon-szczecin,Bak M.,mateusz-bak,pogon-szczecin,2024/25,past_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | sim>=0.92:1.000 | initial_match | same_club_bonus,Mateusz BąkPogoń Szczecin
Pogoń Szczecin,pogon-szczecin,Bak M.,daniel-bak,korona-kielce,2023/24,past_season_other_club,100,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | sim>=0.92:1.000,Daniel BąkKorona Kielce
Pogoń Szczecin,pogon-szczecin,Bak M.,daniel-bak,korona-kielce,2024/25,past_season_other_club,100,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | sim>=0.92:1.000,Daniel BąkKorona Kielce
Pogoń Szczecin,pogon-szczecin,Bak M.,makana-baku,legia-warszawa,2023/24,past_season_other_club,88,sim>=0.85:0.857 | initial_match,Makana Nsimba BakuLegia Warszawa
Pogoń Szczecin,pogon-szczecin,Bak M.,sinan-baks,gornik-zabrze,2024/25,past_season_other_club,84,sim>=0.85:0.857,Sinan BakışGórnik Zabrze
Pogoń Szczecin,pogon-szczecin,Jakubowski R.,jakub-ukowski,gks-katowice,2025/26,same_season_other_club,86,sim>=0.85:0.909 | same_season_bonus,Jakub ŁukowskiGKS Katowice
Pogoń Szczecin,pogon-szczecin,Jakubowski R.,jakub-ukowski,korona-kielce,2023/24,past_season_other_club,84,sim>=0.85:0.909,Jakub ŁukowskiKorona Kielce
Pogoń Szczecin,pogon-szczecin,Jakubowski R.,jakub-ukowski,widzew-lodz,2024/25,past_season_other_club,84,sim>=0.85:0.909,Jakub ŁukowskiWidzew Łódź
Pogoń Szczecin,pogon-szczecin,Jakubowski R.,jakub-bartkowski,warta-poznan,2023/24,past_season_other_club,78,sim>=0.78:0.800,Jakub BartkowskiWarta Poznań
