match_id,kolejka,data_meczu,gospodarz,gosc,gole_gosp,gole_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,flash_id,flash_url,strzaly_gosp_flash,strzaly_gosc_flash,celne_gosp_flash,celne_gosc_flash,xg_gosp_flash,xg_gosc_flash
1757,9,2023-09-24,Zagłębie Lubin,Warta Poznań,1.0,0.0,9.0,8.0,2.0,2.0,hnsdB9vc,https://www.flashscore.pl/mecz/pilka-nozna/warta-poznan-CrVUWAl8/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=hnsdB9vc,9,8,2,2,,
1758,9,2023-09-22,Korona Kielce,Widzew Łódź,1.0,1.0,14.0,8.0,5.0,2.0,Wxt0ATg3,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=Wxt0ATg3,14,8,5,2,,
1759,9,2023-09-23,Lech Poznań,Stal Mielec,2.0,1.0,13.0,10.0,5.0,3.0,Qau49m99,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=Qau49m99,14,10,5,3,,
1760,9,2023-09-24,Legia Warszawa,Górnik Zabrze,2.0,1.0,17.0,11.0,6.0,3.0,xzq887OF,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=xzq887OF,18,11,6,3,,
1761,9,2023-09-23,Radomiak Radom,Puszcza Niepołomice,1.0,1.0,23.0,9.0,4.0,2.0,KbYC7RwM,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=KbYC7RwM,23,9,4,2,,
1762,9,2023-09-24,Ruch Chorzów,Raków Częstochowa,3.0,5.0,10.0,9.0,4.0,7.0,bkXG6ogS,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/ruch-chorzow-S4zygtuJ/szczegoly/statystyki/?mid=bkXG6ogS,10,9,4,7,,
1763,9,2023-09-22,ŁKS Łódź,Jagiellonia Białystok,2.0,2.0,6.0,16.0,4.0,8.0,jsPr251q,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/lks-lodz-ShUKWHDG/szczegoly/statystyki/?mid=jsPr251q,6,16,4,8,,
1764,9,2023-09-23,Śląsk Wrocław,Piast Gliwice,1.0,0.0,14.0,10.0,6.0,2.0,UXNn1PGk,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=UXNn1PGk,14,10,6,2,,
1765,10,2023-10-02,Górnik Zabrze,Zagłębie Lubin,0.0,2.0,25.0,9.0,6.0,3.0,CdDi0qWe,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=CdDi0qWe,25,9,6,3,,
1766,10,2023-10-01,Jagiellonia Białystok,Legia Warszawa,2.0,0.0,4.0,15.0,2.0,1.0,QaHea3o2,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=QaHea3o2,4,14,2,1,,
1767,10,2023-09-29,Piast Gliwice,Widzew Łódź,3.0,2.0,11.0,11.0,4.0,2.0,v35wOnO2,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=v35wOnO2,10,11,4,2,,
